#,BPM,Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Camelot,Duration_sec,Genre,genre_encoded,Key_encoded,Camelot_encoded,Has_Tekno,Has_Acid,Has_Industrial,Has_Rave,Has_Warehouse,Has_Minimal,Has_Trance,Has_House,Has_Bass,Has_Dark
1,148,"hard techno, acid techno, techno, tekno, hardcore techno",47,100,0,89,5,10,10,-7,G Major,5,9B,326.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
2,144,"hard techno, techno, acid techno, tekno, hardcore techno",68,100,4,77,15,0,20,-5,A Major,4,11B,426.0,Hard Techno,0,0,3,1,1,0,0,0,0,0,0,0,0
3,148,"hard techno, acid techno, techno, tekno",73,94,0,79,38,0,10,-7,F#/G♭ Minor,4,11A,365.0,Hard Techno,0,19,2,1,1,0,0,0,0,0,0,0,0
4,150,"hard techno, acid techno, techno, tekno, hardcore techno",59,100,0,78,36,10,10,-5,D#/E♭ Minor,4,2A,378.0,Hard Techno,0,13,8,1,1,0,0,0,0,0,0,0,0
5,148,"hard techno, acid techno, techno",58,96,0,84,21,0,10,-6,G Major,4,9B,353.0,Hard Techno,0,20,23,0,1,0,0,0,0,0,0,0,0
6,155,"hard techno, techno",66,89,1,23,70,0,0,-6,G#/A♭ Major,4,4B,426.0,Hard Techno,0,22,13,0,0,0,0,0,0,0,0,0,0
7,155,"techno, hard techno, tekno, gabber, acid techno",63,100,0,85,44,0,0,-7,C Major,4,8B,427.0,Hard Techno,0,6,21,1,1,0,0,0,0,0,0,0,0
8,154,"hard house, techno, hard techno, tekno",74,97,1,85,60,0,0,-7,G Major,4,9B,324.0,Hard Techno,0,20,23,1,0,0,0,0,0,0,1,0,0
9,140,"hard techno, techno, acid techno, tekno, hardcore techno",63,91,4,97,5,10,10,-11,C♯/D♭ Minor,4,12A,174.0,Hard Techno,0,9,4,1,1,0,0,0,0,0,0,0,0
10,150,"hard techno, techno, tekno",69,77,0,11,43,10,10,-8,F#/G♭ Minor,4,11A,180.0,Hard Techno,0,19,2,1,0,0,0,0,0,0,0,0,0
11,150,"hard techno, techno, acid techno, tekno, industrial, hardcore techno",48,99,0,86,28,0,10,-4,A Major,4,11B,380.0,Hard Techno,0,0,3,1,1,1,0,0,0,0,0,0,0
12,155,"hard techno, techno, acid techno, tekno",56,84,0,54,17,10,10,-12,C♯/D♭ Major,4,3B,324.0,Hard Techno,0,8,11,1,1,0,0,0,0,0,0,0,0
13,150,"hard techno, techno, tekno, acid techno, hardcore techno",57,99,0,74,15,0,10,-8,D Major,4,10B,307.0,Hard Techno,0,10,1,1,1,0,0,0,0,0,0,0,0
14,160,"hard techno, techno, acid techno, tekno, hardcore techno",66,94,1,77,55,0,20,-6,G#/A♭ Minor,4,1A,422.0,Hard Techno,0,23,6,1,1,0,0,0,0,0,0,0,0
15,150,"hard techno, acid techno, techno, tekno, hardcore techno",70,100,0,68,25,0,20,-6,C♯/D♭ Major,4,3B,359.0,Hard Techno,0,8,11,1,1,0,0,0,0,0,0,0,0
16,155,"hard techno, techno, acid techno, tekno",74,96,0,86,62,0,10,-6,A Minor,4,8A,333.0,Hard Techno,0,1,20,1,1,0,0,0,0,0,0,0,0
17,132,"hard techno, acid techno, techno",57,71,0,83,13,0,10,-8,G Major,4,9B,421.0,Hard Techno,0,20,23,0,1,0,0,0,0,0,0,0,0
18,145,"techno, hard techno, psytrance, acid techno, tekno",70,92,8,78,4,0,10,-12,F Minor,4,4A,372.0,Hard Techno,0,17,12,1,1,0,0,0,0,1,0,0,0
19,131,"techno, acid techno, hard techno, tekno",79,96,0,91,11,0,0,-8,C♯/D♭ Major,4,3B,242.0,Hard Techno,0,8,11,1,1,0,0,0,0,0,0,0,0
20,147,"acid techno, hard techno, techno, tekno",76,92,0,88,30,0,30,-10,A Major,4,11B,310.0,Hard Techno,0,0,3,1,1,0,0,0,0,0,0,0,0
21,150,"hard techno, techno, acid techno, tekno",61,98,0,84,5,10,0,-6,F#/G♭ Major,4,2B,317.0,Hard Techno,0,18,9,1,1,0,0,0,0,0,0,0,0
22,148,"hard techno, techno, acid techno, tekno, hardcore techno",51,98,0,88,33,0,10,-6,G#/A♭ Major,4,4B,358.0,Hard Techno,0,22,13,1,1,0,0,0,0,0,0,0,0
23,75,"hard techno, techno, acid techno, tekno, hardcore techno",70,94,7,91,5,10,10,-8,A#/B♭ Minor,4,3A,361.0,Hard Techno,0,3,10,1,1,0,0,0,0,0,0,0,0
24,75,"hard techno, techno, acid techno, tekno, industrial",59,100,0,64,5,10,0,-7,G Major,4,9B,347.0,Hard Techno,0,20,23,1,1,1,0,0,0,0,0,0,0
25,150,"hard techno, acid techno, techno, tekno, hardcore techno",63,96,0,85,48,0,10,-5,G Major,4,9B,353.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
26,150,"hard techno, acid techno, techno, tekno, hardcore techno",57,99,0,79,34,0,10,-6,G Major,4,9B,347.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
27,160,"techno, hard techno, hypertechno, tekno",71,93,5,86,59,0,0,-7,G Major,4,9B,240.0,Hard Techno,0,20,23,1,0,0,0,0,0,0,0,0,0
28,130,"techno, acid techno, hard techno, tekno, minimal techno",75,91,6,89,6,0,0,-8,F Minor,4,4A,489.0,Hard Techno,0,17,12,1,1,0,0,0,1,0,0,0,0
29,155,"hard techno, techno, acid techno, tekno, industrial",32,100,0,76,31,10,20,-6,C♯/D♭ Major,4,3B,374.0,Hard Techno,0,8,11,1,1,1,0,0,0,0,0,0,0
30,150,"hard techno, techno, acid techno, tekno",59,99,0,59,91,0,30,-7,B Major,4,1B,326.0,Hard Techno,0,4,7,1,1,0,0,0,0,0,0,0,0
31,146,"hard techno, techno, acid techno, tekno, industrial, hardcore techno",39,100,0,83,26,0,30,-8,E Minor,4,9A,370.0,Hard Techno,0,15,22,1,1,1,0,0,0,0,0,0,0
32,145,"hard techno, techno, tekno, acid techno, hardcore techno",59,98,0,64,15,0,10,-8,D Major,4,10B,381.0,Hard Techno,0,10,1,1,1,0,0,0,0,0,0,0,0
33,150,"hard techno, techno, acid techno, tekno, hardcore techno",49,95,0,80,26,0,50,-9,G#/A♭ Minor,4,1A,327.0,Hard Techno,0,23,6,1,1,0,0,0,0,0,0,0,0
34,134,"techno, hard techno, psytrance, acid techno, tekno",74,60,1,83,11,0,10,-8,C♯/D♭ Major,4,3B,371.0,Hard Techno,0,8,11,1,1,0,0,0,0,1,0,0,0
35,142,"hard techno, acid techno, techno",57,98,0,84,13,0,60,-8,A#/B♭ Minor,4,3A,334.0,Hard Techno,0,3,10,0,1,0,0,0,0,0,0,0,0
36,140,"acid techno, hard techno, techno, tekno",65,72,1,89,4,0,10,-10,G Major,4,9B,322.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
37,153,"hard techno, acid techno, techno, tekno",64,100,4,64,40,0,10,-6,C♯/D♭ Major,4,3B,310.0,Hard Techno,0,8,11,1,1,0,0,0,0,0,0,0,0
38,148,"hard techno, acid techno, techno, tekno, industrial",67,100,53,93,27,0,10,-6,A Major,4,11B,325.0,Hard Techno,0,0,3,1,1,1,0,0,0,0,0,0,0
39,133,"hard techno, techno, tekno, acid techno, hardcore techno",52,99,1,83,29,0,10,-6,F#/G♭ Major,4,2B,247.0,Hard Techno,0,18,9,1,1,0,0,0,0,0,0,0,0
40,150,"big room, techno, hard techno, acid techno, hypertechno",64,91,1,4,51,0,10,-8,B Minor,4,10A,213.0,Hard Techno,0,5,0,0,1,0,0,0,0,0,0,0,0
41,135,"hard techno, techno, acid techno",69,99,0,74,5,0,0,-4,D Major,4,10B,377.0,Hard Techno,0,10,1,0,1,0,0,0,0,0,0,0,0
42,147,"acid techno, hard techno, hard house, tekno",63,99,0,96,49,0,0,-6,B Major,4,1B,339.0,Hard Techno,0,4,7,1,1,0,0,0,0,0,1,0,0
43,130,"techno, acid techno, hard techno, tekno, minimal techno",75,91,6,89,6,0,0,-8,F Minor,4,4A,489.0,Hard Techno,0,17,12,1,1,0,0,0,1,0,0,0,0
44,140,"techno, hard techno, acid techno, big room, tekno",65,100,13,86,4,10,0,-4,G Major,4,9B,239.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
45,132,"techno, acid techno, hard techno, tekno",75,91,0,88,35,0,0,-4,G Major,4,9B,365.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
46,134,"techno, acid techno, hard techno, tekno, minimal techno",78,72,0,75,30,0,10,-7,G#/A♭ Major,4,4B,406.0,Hard Techno,0,22,13,1,1,0,0,0,1,0,0,0,0
47,150,"hard techno, techno, acid techno, tekno",69,82,34,88,7,0,10,-11,E Minor,4,9A,386.0,Hard Techno,0,15,22,1,1,0,0,0,0,0,0,0,0
48,135,"big room, edm, progressive house, electronica, techno, hard techno, acid techno, hypertechno, melbourne bounce",57,98,3,77,6,0,30,-6,C Major,4,8B,181.0,Hard Techno,0,6,21,0,1,0,0,0,0,0,1,0,0
